comments_num,director,name,order,score,screenwriter,type
546092,刘镇伟,射雕英雄传之东成西就 射鵰英雄傳之東成西就,No.135,8.7,刘镇伟,"喜剧,奇幻,武侠,古装"
comments_num,director,name,order,score,screenwriter,type
1166830,史蒂文·斯皮尔伯格,头号玩家 Ready Player One,No.151,8.7,"扎克·佩恩,恩斯特·克莱恩","动作,科幻,冒险"
362746,是枝裕和,海街日记 海街diary,No.175,8.8,"是枝裕和,吉田秋生","剧情,家庭"
489299,迈克·内威尔,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,No.174,8.7,"史蒂夫·克洛夫斯,J·K·罗琳","悬疑,奇幻,冒险"
162251,神山征二郎,忠犬八公物语 ハチ公物語,No.173,9.2,新藤兼人,剧情
520865,克里斯托弗·诺兰,记忆碎片 Memento,No.172,8.7,"克里斯托弗·诺兰,乔纳森·诺兰","剧情,悬疑,惊悚,犯罪"
422817,忻钰坤,心迷宫,No.170,8.7,"忻钰坤,冯元良,鲁妮凡","剧情,悬疑,犯罪"
512400,罗启锐,岁月神偷 歲月神偷,No.171,8.7,"罗启锐,张婉婷","剧情,家庭"
1173378,新海诚,你的名字。 君の名は。,No.169,8.5,新海诚,"剧情,爱情,动画"
503648,"彼特·道格特,罗纳尔多·德尔·卡门",头脑特工队 Inside Out,No.168,8.7,"彼特·道格特,罗纳尔多·德尔·卡门,梅格·勒福夫,乔什·库雷,迈克尔·阿恩特,西蒙·里奇,鲍勃·彼德森,比尔·哈德尔,艾米·波勒","喜剧,动画,冒险"
349022,吴宇森,纵横四海 緃横四海,No.167,8.8,"吴宇森,高志森,秦小珍","剧情,喜剧,动作,犯罪"
380871,让-马克·瓦雷,达拉斯买家俱乐部 Dallas Buyers Club,No.166,8.8,"克莱格·鲍登,梅丽莎·沃雷克","剧情,同性,传记"
365967,"拉娜·沃卓斯基,莉莉·沃卓斯基",黑客帝国3：矩阵革命 The Matrix Revolutions,No.165,8.8,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻"
441901,吴宇森,英雄本色,No.163,8.6,"陈庆嘉,吴宇森,梁淑华","剧情,动作,犯罪"
360191,保罗·格林格拉斯,谍影重重3 The Bourne Ultimatum,No.164,8.8,"托尼·吉尔罗伊,乔治·诺非,斯科特·Z·本恩斯","动作,悬疑,惊悚"
702650,马丁·麦克唐纳,"三块广告牌 Three Billboards Outside Ebbing, Missouri",No.161,8.7,马丁·麦克唐纳,"剧情,犯罪"
1158320,奉俊昊,寄生虫 기생충,No.159,8.8,"奉俊昊,韩进元","剧情,喜剧"
522859,莫滕·泰杜姆,模仿游戏 The Imitation Game,No.158,8.7,"格拉汉姆·摩尔,安德鲁·霍奇斯","剧情,同性,传记,战争"
261645,"费尔南多·梅里尔斯,卡迪亚·兰德",上帝之城 Cidade de Deus,No.157,9.0,"保罗·林斯,布罗里欧·曼托伐尼","剧情,犯罪"
491321,王家卫,花样年华 花樣年華,No.162,8.7,王家卫,"剧情,爱情"
268200,特瑞·乔治,卢旺达饭店 Hotel Rwanda,No.156,8.9,"凯尔·皮尔森,特瑞·乔治","剧情,传记,历史,战争"
313135,宫崎骏,风之谷 風の谷のナウシカ,No.155,8.9,宫崎骏,"动画,奇幻,冒险"
730022,"柯克·德·米科,克里斯·桑德斯",疯狂原始人 The Croods,No.160,8.7,"克里斯·桑德斯,柯克·德·米科,约翰·克里斯","喜剧,动画,冒险"
315032,朴勋政,新世界 신세계,No.154,8.9,朴勋政,"剧情,犯罪"
440272,温子仁,电锯惊魂 Saw,No.153,8.7,"温子仁,雷·沃纳尔","悬疑,惊悚,恐怖"
288929,李安,喜宴 囍宴,No.152,8.9,"李安,冯光远,詹姆斯·夏慕斯","剧情,喜剧,爱情,同性,家庭"
comments_num,director,name,order,score,screenwriter,type
699866,达伦·阿伦诺夫斯基,黑天鹅 Black Swan,No.187,8.6,"安德雷斯·海因斯,马克·海曼,约翰·J·麦克劳克林","剧情,惊悚"
305882,理查德·林克莱特,爱在午夜降临前 Before Midnight,No.186,8.8,"理查德·林克莱特,朱莉·德尔佩,伊桑·霍克,金·克里桑","剧情,爱情"
450944,瑞奇·摩尔,无敌破坏王 Wreck-It Ralph,No.185,8.7,"菲尔·约翰斯顿,珍妮弗·李,瑞奇·摩尔,吉姆·里尔顿,约翰·C·赖利,山姆·J·莱文,贾里德·斯特恩","喜剧,动画,奇幻,冒险"
259361,弗兰克·德拉邦特,绿里奇迹 The Green Mile,No.184,8.9,"弗兰克·德拉邦特,斯蒂芬·金","剧情,悬疑,犯罪,奇幻"
704002,是枝裕和,小偷家族 万引き家族,No.183,8.7,是枝裕和,"剧情,家庭,犯罪"
524095,王晶,九品芝麻官,No.182,8.6,王晶,"剧情,喜剧,古装"
499011,王家卫,东邪西毒 東邪西毒,No.181,8.6,"王家卫,金庸","剧情,动作,爱情,武侠,古装"
645321,"丹尼·博伊尔,洛芙琳·坦丹",贫民窟的百万富翁 Slumdog Millionaire,No.180,8.6,"西蒙·博福伊,维卡斯·史瓦卢普","剧情,爱情"
614347,理查德·柯蒂斯,真爱至上 Love Actually,No.179,8.6,理查德·柯蒂斯,"剧情,喜剧,爱情"
480714,达米恩·查泽雷,爆裂鼓手 Whiplash,No.178,8.7,达米恩·查泽雷,"剧情,音乐"
220324,阿尔弗雷德·希区柯克,惊魂记 Psycho,No.177,9.0,"约瑟夫·斯蒂凡诺,罗伯特·布洛克","悬疑,惊悚,恐怖"
367444,达米安·斯兹弗隆,荒蛮故事 Relatos salvajes,No.176,8.8,达米安·斯兹弗隆,"剧情,喜剧,犯罪"
206504,热拉尔·乌里,虎口脱险 La grande vadrouille,No.200,8.9,"热拉尔·乌里,达妮埃尔·汤普森,马塞尔·朱利安,乔治·塔贝,安德烈·塔贝","喜剧,战争"
253349,斯坦利·库布里克,2001太空漫游 2001: A Space Odyssey,No.199,8.8,"亚瑟·克拉克,斯坦利·库布里克","科幻,惊悚,冒险"
257892,郭柯,二十二,No.198,8.7,,纪录片
601901,李安,色，戒,No.197,8.5,"王蕙玲,詹姆斯·夏慕斯,张爱玲","剧情,爱情,情色"
389172,宫崎骏,魔女宅急便 魔女の宅急便,No.196,8.7,"宫崎骏,角野荣子","动画,奇幻,冒险"
177047,"斯坦利·多南,吉恩·凯利",雨中曲 Singin' in the Rain,No.195,9.1,"贝蒂·康登,阿多夫·格林","喜剧,爱情,歌舞"
675443,克里斯托弗·史密斯,恐怖游轮 Triangle,No.194,8.5,克里斯托弗·史密斯,"剧情,悬疑,惊悚"
558975,尼克·卡萨维蒂,恋恋笔记本 The Notebook,No.193,8.6,"扬·萨尔迪,杰里米·莱文,尼古拉斯·斯帕克斯","剧情,爱情"
350612,巴瑞·莱文森,雨人 Rain Man,No.192,8.7,"罗纳德·巴斯,巴里·莫罗",剧情
683472,宁浩,疯狂的石头,No.191,8.5,"张承,宁浩,岳小军","喜剧,犯罪"
361111,高畑勋,萤火虫之墓 火垂るの墓,No.190,8.7,"高畑勋,野坂昭如","剧情,动画,战争"
527998,"卡洛斯·沙尔丹哈,克里斯·韦奇",冰川时代 Ice Age,No.189,8.6,"迈克尔·伯格 ,迈克尔·J·威尔森,彼得·阿克曼","喜剧,动画,冒险"
286764,藤森雅也,你看起来好像很好吃 おまえうまそうだな,No.188,8.9,"村上修,神野博明,宫西达也","剧情,动画,儿童"
comments_num,director,name,order,score,screenwriter,type
374263,李惠民,新龙门客栈 新龍門客棧,No.215,8.6,"徐克,张炭,吕晓禾,司徒慧焯,何冀平,苏叔阳","动作,爱情,武侠,古装"
438886,徐克,青蛇,No.214,8.6,"李碧华,徐克","剧情,爱情,奇幻,古装"
698081,邓肯·琼斯,源代码 Source Code,No.213,8.5,本·雷普利,"科幻,悬疑,惊悚"
225315,杨德昌,牯岭街少年杀人事件 牯嶺街少年殺人事件,No.212,8.9,"杨德昌,赖铭堂,杨顺清,鸿鸿","剧情,犯罪"
347360,罗伯·莱纳,遗愿清单 The Bucket List,No.211,8.7,贾斯汀·扎克汉姆,"剧情,喜剧,冒险"
327289,伦尼·阿伯拉罕森,房间 Room,No.210,8.8,艾玛·多诺霍,"剧情,家庭"
294101,詹姆斯·卡梅隆,终结者2：审判日 Terminator 2: Judgment Day,No.208,8.8,"詹姆斯·卡梅隆,小威廉·威谢尔","动作,科幻"
354415,黄信尧,大佛普拉斯,No.209,8.7,黄信尧,"剧情,喜剧"
866838,"普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭",初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,No.206,8.4,普特鹏·普罗萨卡·那·萨克那卡林,"剧情,喜剧,爱情"
260532,黑泽明,罗生门 羅生門,No.207,8.8,"黑泽明,桥本忍,芥川龙之介","剧情,悬疑,犯罪"
411829,肯尼思·洛纳根,海边的曼彻斯特 Manchester by the Sea,No.205,8.6,肯尼思·洛纳根,"剧情,家庭"
373362,史蒂文·斯皮尔伯格,人工智能 Artificial Intelligence: AI,No.204,8.7,"布莱恩·奥尔迪斯,伊恩·沃森,史蒂文·斯皮尔伯格","剧情,科幻"
484654,斯蒂芬·卓博斯基,奇迹男孩 Wonder,No.203,8.6,"斯蒂芬·卓博斯基,斯蒂夫·康拉德,杰克·索恩,R·J·帕拉西奥","剧情,家庭,儿童"
252005,陆川,可可西里,No.202,8.8,陆川,"剧情,犯罪"
115669,查理·卓别林,城市之光 City Lights,No.201,9.3,"查理·卓别林,Harry Clive,哈里·克罗克","剧情,喜剧,爱情"
450678,詹姆斯·沃德·布柯特,彗星来的那一夜 Coherence,No.225,8.5,"詹姆斯·沃德·布柯特,亚历克斯·马努吉安","科幻,悬疑,惊悚"
247715,爱德华·兹威克,燃情岁月 Legends of the Fall,No.224,8.8,"威廉·D·威特利夫,吉姆·哈里森,苏珊·希利迪","剧情,爱情,战争,西部"
312548,爱德华·兹威克,血钻 Blood Diamond,No.223,8.7,查尔斯·里维特,"剧情,惊悚,冒险"
229857,是枝裕和,步履不停 歩いても 歩いても,No.222,8.8,是枝裕和,"剧情,家庭"
402639,昆汀·塔伦蒂诺,无耻混蛋 Inglourious Basterds,No.221,8.6,昆汀·塔伦蒂诺,"剧情,犯罪"
159803,今敏,东京教父 東京ゴッドファーザーズ,No.220,9.0,"今敏,信本敬子","剧情,喜剧,动画"
364423,"刘伟强,麦兆辉",无间道2 無間道II,No.219,8.6,"麦兆辉,庄文强","剧情,惊悚,犯罪"
443181,乔治·米勒,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,No.218,8.6,"乔治·米勒,布伦丹·麦卡锡,尼克·拉图里","动作,科幻,冒险"
235037,茂文·勒鲁瓦,魂断蓝桥 Waterloo Bridge,No.217,8.8,"塞缪尔·N·贝尔曼,汉斯·拉莫,乔治·弗罗斯切尔,罗伯特·E·舍伍德","剧情,爱情,战争"
493513,布莱恩·辛格,波西米亚狂想曲 Bohemian Rhapsody,No.216,8.7,"安东尼·麦卡滕,皮特·摩根","剧情,同性,音乐,传记"
comments_num,director,name,order,score,screenwriter,type
302900,安德鲁·尼科尔,战争之王 Lord of War,No.226,8.7,安德鲁·尼科尔,"剧情,犯罪"
156076,克里斯托弗·诺兰,追随 Following,No.250,8.9,克里斯托弗·诺兰,"悬疑,惊悚,犯罪"
590045,雷德利·斯科特,火星救援 The Martian,No.249,8.5,"德鲁·戈达德,安迪·威尔","剧情,科幻,冒险"
423561,卡比尔·汗,小萝莉的猴神大叔 Bajrangi Bhaijaan,No.248,8.4,"卡比尔·汗,维杰耶德拉·普拉萨德","剧情,喜剧,动作"
370173,丹尼·博伊尔,猜火车 Trainspotting,No.247,8.5,"埃文·威尔什,约翰·霍奇","剧情,犯罪"
233887,丹尼斯·甘塞尔,浪潮 Die Welle,No.246,8.7,"丹尼斯·甘塞尔,彼得·图万斯,约翰尼·道金斯,罗恩·比恩巴赫,罗恩·琼斯","剧情,惊悚"
786600,"周申,刘露",驴得水,No.245,8.3,"周申,刘露","剧情,喜剧"
239351,汤姆·麦卡锡,聚焦 Spotlight,No.244,8.8,"乔希·辛格,汤姆·麦卡锡","剧情,传记"
705031,达米恩·查泽雷,爱乐之城 La La Land,No.243,8.4,达米恩·查泽雷,"剧情,爱情,歌舞"
79235,"黄建新,杨亚洲",背靠背，脸对脸,No.242,9.5,"黄建新,孙毅安,刘醒龙",剧情
404409,史蒂芬·戴德利,朗读者 The Reader,No.241,8.6,"戴维·黑尔,本哈德·施林克","剧情,爱情"
139700,秋昌旼,我爱你 그대를 사랑합니다,No.240,9.1,"姜草,秋昌旼","剧情,爱情"
362169,约翰·卡尼,再次出发之纽约遇见你 Begin Again,No.239,8.6,约翰·卡尼,"喜剧,爱情,音乐"
475905,汤姆·提克威,香水 Perfume: The Story of a Murderer,No.238,8.5,"安德鲁·伯金,贝尔恩德·艾辛格,汤姆·提克威,帕特里克·聚斯金德","剧情,犯罪,奇幻"
77191,谢添,茶馆,No.237,9.5,老舍,"剧情,历史"
461079,保罗·杰诺维塞,完美陌生人 Perfetti sconosciuti,No.236,8.5,"保罗·杰诺维塞,菲利波·博洛尼亚,保罗·克斯泰拉,宝拉·马米妮,罗兰多·拉维洛","剧情,喜剧"
361500,道格·里曼,谍影重重 The Bourne Identity,No.235,8.6,"托尼·吉尔罗伊,罗伯特·鲁德鲁姆,W·布莱克·赫伦","动作,悬疑,惊悚"
177479,阿米尔·汗,地球上的星星 Taare Zameen Par,No.234,8.9,阿莫尔·古普特,"剧情,家庭,儿童"
396283,宫崎骏,崖上的波妞 崖の上のポニョ,No.233,8.6,宫崎骏,"动画,奇幻,冒险"
325334,"拉娜·沃卓斯基,莉莉·沃卓斯基",黑客帝国2：重装上阵 The Matrix Reloaded,No.232,8.6,"莉莉·沃卓斯基,拉娜·沃卓斯基","动作,科幻"
424434,王家卫,阿飞正传 阿飛正傳,No.231,8.5,王家卫,"剧情,爱情,犯罪"
333635,细田守,穿越时空的少女 時をかける少女,No.230,8.6,"奥寺佐渡子,筒井康隆","剧情,爱情,科幻,动画"
229122,安德鲁·尼科尔,千钧一发 Gattaca,No.229,8.8,安德鲁·尼科尔,"剧情,科幻,惊悚"
301962,保罗·格林格拉斯,谍影重重2 The Bourne Supremacy,No.228,8.7,"罗伯特·鲁德鲁姆,托尼·吉尔罗伊","动作,悬疑,惊悚"
142475,"雅克·贝汉,雅克·克鲁奥德",海洋 Océans,No.227,9.1,"克里斯托夫·谢松,雅克·克鲁奥德,洛朗·德巴,斯特凡纳·迪朗,洛朗·戈德,雅克·贝汉,弗朗索瓦·萨兰诺",纪录片
comments_num,director,name,order,score,screenwriter,type
862903,"奥利维埃·纳卡什,埃里克·托莱达诺",触不可及 Intouchables,No.26,9.3,"奥利维埃·纳卡什,埃里克·托莱达诺","剧情,喜剧"
510660,杨宇硕,辩护人 변호인,No.50,9.2,"杨宇硕,尹贤浩",剧情
774591,史蒂文·斯皮尔伯格,猫鼠游戏 Catch Me If You Can,No.49,9.1,杰夫·内桑森,"剧情,传记,犯罪"
822500,威廉·惠勒,罗马假日 Roman Holiday,No.48,9.0,"伊安·麦克莱伦·亨特,约翰·戴顿,达尔顿·特朗勃","剧情,喜剧,爱情"
630094,彼得·杰克逊,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,No.47,9.2,"弗兰·威尔士,菲利帕·鲍恩斯,斯蒂芬·辛克莱,彼得·杰克逊,J. R. R. 托尔金","剧情,动作,奇幻,冒险"
730108,马丁·布莱斯特,闻香识女人 Scent of a Woman,No.46,9.1,"博·古德曼,乔瓦尼·阿尔皮诺",剧情
584005,朱塞佩·托纳多雷,天堂电影院 Nuovo Cinema Paradiso,No.45,9.2,"朱塞佩·托纳多雷,瓦娜·波利","剧情,爱情"
707393,宫崎骏,天空之城 天空の城ラピュタ,No.44,9.1,宫崎骏,"动画,奇幻,冒险"
1042031,刘镇伟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,No.43,9.0,"刘镇伟,吴承恩","喜剧,爱情,奇幻,古装"
523179,姜文,鬼子来了,No.42,9.3,"姜文,史建全,述平,尤凤伟","剧情,喜剧"
1781127,文牧野,我不是药神,No.41,9.0,"韩家女,钟伟,文牧野","剧情,喜剧"
1174021,李安,少年派的奇幻漂流 Life of Pi,No.40,9.1,"扬·马特尔,大卫·麦基","剧情,奇幻,冒险"
847576,宫崎骏,哈尔的移动城堡 ハウルの動く城,No.39,9.1,"宫崎骏,黛安娜·温恩·琼斯","动画,奇幻,冒险"
394469,西德尼·吕美特,十二怒汉 12 Angry Men,No.38,9.4,雷金纳德·罗斯,剧情
1339832,涅提·蒂瓦里,摔跤吧！爸爸 Dangal,No.37,9.0,"比于什·古普塔,施热亚·简,尼基尔·麦罗特拉,涅提·蒂瓦里","剧情,家庭,传记,运动"
1129484,"彼特·道格特,鲍勃·彼德森",飞屋环游记 Up,No.36,9.0,"彼特·道格特,鲍勃·彼德森,汤姆·麦卡锡","剧情,喜剧,动画,冒险"
565810,李濬益,素媛 소원,No.35,9.3,"金智慧,曹重勋,金成旭",剧情
864205,娜丁·拉巴基,何以为家 كفرناحوم,No.34,9.1,"娜丁·拉巴基,吉哈德·霍加里,米歇尔·凯斯沃尼,乔治斯·哈巴兹,哈立德·穆扎纳",剧情
585379,"维克多·弗莱明,乔治·库克,山姆·伍德",乱世佳人 Gone with the Wind,No.33,9.3,"玛格丽特·米歇尔,西德尼·霍华德,奥利弗·H·P·加勒特,本·赫克特,乔·斯沃林,约翰·范·德鲁登","剧情,爱情,历史,战争"
923702,克里斯·哥伦布,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,No.32,9.1,"史蒂夫·克洛夫斯,J·K·罗琳","奇幻,冒险"
676224,彼得·杰克逊,指环王3：王者无敌 The Lord of the Rings: The Return of the King,No.31,9.3,"弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,J. R. R. 托尔金","剧情,动作,奇幻,冒险"
690500,张艺谋,活着,No.30,9.3,"芦苇,余华","剧情,家庭,历史"
1360641,"李·昂克里奇,阿德里安·莫利纳",寻梦环游记 Coco,No.29,9.1,"阿德里安·莫利纳,马修·奥尔德里奇,李·昂克里奇,詹森·卡茨","喜剧,动画,音乐,奇幻"
887015,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士 The Dark Knight,No.28,9.2,"乔纳森·诺兰,克里斯托弗·诺兰,大卫·S·高耶","剧情,动作,科幻,惊悚,犯罪"
698072,贝纳尔多·贝托鲁奇,末代皇帝 The Last Emperor,No.27,9.3,"贝纳尔多·贝托鲁奇,马克·派普罗","剧情,传记,历史"
